Designator,Mid X,Mid Y,Rotation,Layer
A1,16.5,-14.03,90.0,top
D1,-13.79,0.0,0.0,top
R1,25.0,1.5,0.0,top
R10,47.0,-4.0,0.0,top
R2,25.0,5.0,0.0,top
R3,25.0,8.5,0.0,top
R4,25.0,12.0,0.0,top
R5,25.0,15.5,0.0,top
R6,25.0,19.0,0.0,top
R7,-5.61,-22.32,270.0,top
R8,57.16,-7.5,180.0,top
R9,47.0,-11.0,0.0,top
SW1,97.0,-55.0,90.0,top
SW2,75.0,-55.0,90.0,top
SW3,53.0,-55.0,90.0,top
SW4,31.0,-55.0,90.0,top
SW5,9.0,-55.0,90.0,top
SW6,-13.0,-55.0,90.0,top
U1,0.0,0.0,0.0,top
U2,-10.5,-27.4,270.0,top
U3,84.67,-25.3,180.0,top
